TYPE,CHEMICAL_CNAME,CHEMICAL_NAME,CAS_NO,CO2,UOM_CO2,CO2_95UCI,CO2_95LCI,CH4,UOM_CH4,CH4_95UCI,CH4_95LCI,N2O,UOM_N2O,N2O_95UCI,N20_95LCI
Stationary,自產煤,Other Bituminous Coal,125612-26-2,2.332859839,KgCO2/Kg,0.067653277,-0.077167019,0.000025,KgCH4/Kg,2,-0.7,3.70E-05,KgN2O/Kg,2.333333333,-0.666666667
Stationary,原料煤,Other Bituminous Coal,125612-26-2,2.693284704,KgCO2/Kg,0.067653277,-0.077167019,0.000028,KgCH4/Kg,2,-0.7,4.27E-05,KgN2O/Kg,2.333333333,-0.666666667
Stationary,燃料煤,Other Bituminous Coal,125612-26-2,2.408113382,KgCO2/Kg,0.067653277,-0.077167019,0.000025,KgCH4/Kg,2,-0.7,3.82E-05,KgN2O/Kg,2.333333333,-0.666666667
Stationary,無煙煤,Anthracite,68187-59-7,2.922093324,KgCO2/Kg,0.027466938,-0.037639878,0.00003,KgCH4/Kg,2,-0.7,4.46E-05,KgN2O/Kg,2.333333333,-0.666666667
Stationary,焦煤,Coking Coal,125612-26-2,2.693284704,KgCO2/Kg,0.067653277,-0.077167019,0.000028,KgCH4/Kg,2,-0.7,4.27E-05,KgN2O/Kg,2.333333333,-0.666666667
Stationary,煙煤,Other Bituminous Coal,125612-26-2,2.408113382,KgCO2/Kg,0.053911205,-0.053911205,0.000025,KgCH4/Kg,2,-0.7,3.82E-05,KgN2O/Kg,2.333333333,-0.666666667
Stationary,亞煙煤(發電),Sub-Bituminous Coal,125612-26-2,1.971522252,KgCO2/Kg,0.040582726,-0.03433923,0.000021,KgCH4/Kg,2,-0.7,0.000030773,KgN2O/Kg,2.333333333,-0.666666667
Stationary,亞煙煤(其他),Sub-Bituminous Coal,125612-26-2,2.253168288,KgCO2/Kg,0.040582726,-0.03433923,0.000023,KgCH4/Kg,2,-0.7,3.52E-05,KgN2O/Kg,2.333333333,-0.666666667
Stationary,褐煤,Lignite,"	65996-90-9",1.202633179,KgCO2/Kg,0.138613861,-0.1,0.000012,KgCH4/Kg,2,-0.7,1.79E-05,KgN2O/Kg,2.333333333,-0.666666667
Stationary,油頁岩,Oil Shale and Tar Sands,195459-25-7,0.952869625,KgCO2/Kg,0.168224299,-0.157009346,0.000009,KgCH4/Kg,2,-0.7,0.000013358,KgN2O/Kg,2.333333333,-0.666666667
Stationary,泥煤,Peat,,1.035387266,KgCO2/Kg,0.018867925,-0.056603774,0.00001,KgCH4/Kg,2,-0.7,1.47E-05,KgN2O/Kg,2.333333333,-0.666666667
Stationary,煤球,Patent Fuel,,1.5512094,KgCO2/Kg,0.117948718,-0.104615385,0.000016,KgCH4/Kg,2,-0.7,2.39E-05,KgN2O/Kg,2.333333333,-0.666666667
Stationary,焦炭,Coke Oven Coke and Lignite Coke,,3.1359132,KgCO2/Kg,0.112149533,-0.105607477,0.000029,KgCH4/Kg,2,-0.7,4.40E-05,KgN2O/Kg,2.333333333,-0.666666667
Stationary,石油焦,Petroleum Coke,,3.3473466,KgCO2/Kg,0.17948718,-0.14974359,0.000103,KgCH4/Kg,2.333333333,-0.666666667,2.06E-05,KgN2O/Kg,2.333333333,-0.666666667
Stationary,航空汽油,"Aviation Gasoline
(Jet Gasoline)",,2.19807,KgCO2/L,0.042857143,-0.035714286,0.000094,KgCH4/L,2.333333333,-0.666666667,1.88E-05,KgN2O/L,2.333333333,-0.666666667
Stationary,航空燃油,Jet Kerosene,8008-20-6,2.3948496,KgCO2/L,0.040559441,-0.025174825,0.0001,KgCH4/L,2.333333333,-0.666666667,2.01E-05,KgN2O/L,2.333333333,-0.666666667
Stationary,原油,Crude Oil,,2.76203196,KgCO2/L,0.030013643,-0.030013643,0.000113,KgCH4/L,2.333333333,-0.666666667,2.26E-05,KgN2O/L,2.333333333,-0.666666667
Stationary,奧里油,Orimulsion,,2.119027403,KgCO2/Kg,0.109090909,-0.1,0.000083,KgCH4/Kg,2.333333333,-0.666666667,1.65E-05,KgN2O/Kg,2.333333333,-0.666666667
Stationary,煤油,Other Kerosene,,2.55876282,KgCO2/L,0.025034771,-0.015299026,0.000107,KgCH4/L,2.333333333,-0.666666667,2.14E-05,KgN2O/L,2.333333333,-0.666666667
Stationary,頁岩油,Shale Oil,,2.794562559,KgCO2/Kg,0.080491132,-0.075034106,0.000108,KgCH4/Kg,2.333333333,-0.666666667,2.16E-05,KgN2O/Kg,2.333333333,-0.666666667
Stationary,柴油,Gas/Diesel Oil,68334-30-5,2.606031792,KgCO2/L,0.009446694,-0.020242915,0.000106,KgCH4/L,2.333333333,-0.666666667,2.11E-05,KgN2O/L,2.333333333,-0.666666667
Stationary,車用汽油,Motor Gasoline,,2.263132872,KgCO2/L,0.053391053,-0.025974026,0.000098,KgCH4/L,2.333333333,-0.666666667,1.96E-05,KgN2O/L,2.333333333,-0.666666667
